n,errors,bag_auc,bag_ap,bag_f1,global_token_auc,global_top10_precision,global_top10_recall,global_error_coverage,local_auc,local_ap,top10_precision,top10_recall,error_coverage,fact_auc,fact_top1,fact_chance,n_local_mixed,n_fact_mixed,alert_threshold,validation_clean_answer_alarm,test_clean_answer_alarm,test_error_answer_recall,alert_token_precision,alert_error_token_recall,name,method,seed,val_auc,supervision,layer_index,threshold
89,25,0.6,0.4026882674421415,0.4222222222222222,0.6697176775583474,0.09435483870967742,0.2903225806451613,0.0325,0.6840122848928948,0.3013351358597792,0.2569036590649494,0.25736428112491183,0.13202113975621352,,,,25,0,0.9689441919326782,0.025,0.0625,0.08,0.15384615384615385,0.004962779156327543,local_mlp_42,local_mlp,42,0.606,"training token labels, validation bag/local labels; supervised exploratory control",,0.5561171770095825
89,25,0.61625,0.3997745098159916,0.4375,0.6667477456626356,0.09193548387096774,0.28287841191067,0.0325,0.66583224726404,0.304590002737821,0.25515857261018554,0.22631552174355832,0.13202113975621352,,,,25,0,0.9792863726615906,0.025,0.109375,0.0,0.0,0.0,local_mlp_43,local_mlp,43,0.572,"training token labels, validation bag/local labels; supervised exploratory control",,0.3898826539516449
89,25,0.595625,0.39692038049562384,0.410958904109589,0.6636963211026082,0.08064516129032258,0.24813895781637718,0.0325,0.6649224362776849,0.2953655688366023,0.2590931899641577,0.23370017995860032,0.13202113975621352,,,,25,0,0.9703426957130432,0.025,0.078125,0.0,0.0,0.0,local_mlp_44,local_mlp,44,0.6160000000000001,"training token labels, validation bag/local labels; supervised exploratory control",,0.5314490795135498
89,25,0.5950000000000001,0.4211063657582722,0.4421052631578947,0.663613587433252,0.0814516129032258,0.2506203473945409,0.0325,0.6727507173274825,0.2737418170209383,0.2400470676277128,0.2064794482763019,0.13202113975621352,,,,25,0,0.5970974564552307,0.025,0.078125,0.2,0.0,0.0,local_mlp_alarm_42,local_mlp_alarm,42,0.5660000000000001,"training token labels, validation bag/local labels; supervised exploratory control",,0.2616333067417145
89,25,0.6012500000000001,0.4813932818772997,0.4444444444444444,0.6739182727857315,0.08790322580645162,0.2704714640198511,0.0325,0.6841728062624179,0.3007048095861421,0.2546773799677025,0.2631340756698522,0.13202113975621352,,,,25,0,0.5602748990058899,0.025,0.046875,0.16,0.0,0.0,local_mlp_alarm_43,local_mlp_alarm,43,0.553,"training token labels, validation bag/local labels; supervised exploratory control",,0.2303205281496048
89,25,0.5575,0.44246528308433236,0.3950617283950617,0.668020499748593,0.08387096774193549,0.25806451612903225,0.0325,0.6708191508094151,0.2783818630051618,0.24298479656544175,0.23717211193699061,0.13202113975621352,,,,25,0,0.5468026399612427,0.025,0.0625,0.16,0.0,0.0,local_mlp_alarm_44,local_mlp_alarm,44,0.5499999999999999,"training token labels, validation bag/local labels; supervised exploratory control",,0.3038434088230133
89,25,0.614375,0.4332320655236199,0.425531914893617,0.5278555991355159,0.04435483870967742,0.13647642679900746,0.0325,0.5329881917493552,0.20187172410915666,0.15183272283272284,0.12778556266494923,0.13202113975621352,,,,25,0,0.9990339279174805,0.025,0.078125,0.04,0.0,0.0,lookback_42,lookback,42,0.656,bag labels only,0,0.0935407504439354
89,25,0.5918749999999999,0.4183577865620179,0.4583333333333333,0.5483614493366932,0.03306451612903226,0.10173697270471464,0.0325,0.5754470263455065,0.21548991300945058,0.18999151207215723,0.14440883234252808,0.13202113975621352,,,,25,0,0.9952965378761292,0.025,0.0625,0.12,0.0,0.0,lookback_43,lookback,43,0.652,bag labels only,0,0.1512729823589325
89,25,0.64,0.4536560568098746,0.41304347826086957,0.5439565019459993,0.041935483870967745,0.12903225806451613,0.0325,0.5409422222636846,0.19841707561844443,0.13567399267399266,0.12445882474258887,0.13202113975621352,,,,25,0,0.9996424913406372,0.025,0.0625,0.12,0.09090909090909091,0.0024813895781637717,lookback_44,lookback,44,0.634,bag labels only,0,0.14871641993522644
89,25,0.634375,0.4843645040591122,0.4578313253012048,0.5698546224645491,0.043548387096774194,0.13399503722084366,0.0325,0.5592984908787378,0.20138378447400418,0.15208669108669107,0.12193735186821801,0.13202113975621352,,,,25,0,0.9999999913623029,0.025,0.109375,0.08,0.1111111111111111,0.0024813895781637717,mean_linear,mean_linear,,0.579,bag labels only,0,0.205453194937969
89,25,0.41875000000000007,0.24679808328720998,0.35443037974683544,0.484899760920379,0.025,0.07692307692307693,0.0325,0.4769862581054462,0.16009677163745195,0.13657908936941193,0.11258413245860865,0.13202113975621352,,,,25,0,0.5938756465911865,0.025,0.125,0.04,0.0,0.0,shuffled_support,shuffled,,0.753,bag labels only,0,0.4873211681842804
