n,errors,bag_auc,bag_ap,bag_f1,global_token_auc,global_top10_precision,global_top10_recall,global_error_coverage,local_auc,local_ap,top10_precision,top10_recall,error_coverage,fact_auc,fact_top1,fact_chance,n_local_mixed,n_fact_mixed,alert_threshold,validation_clean_answer_alarm,test_clean_answer_alarm,test_error_answer_recall,alert_token_precision,alert_error_token_recall,name,method,seed,val_auc,supervision,layer_index,threshold
89,25,0.6075000000000002,0.415179372363397,0.43010752688172044,0.5664693675486696,0.054838709677419356,0.1687344913151365,0.0325,0.5525803230142238,0.19577701143761925,0.165493894993895,0.11572179240108536,0.13202113975621352,,,,25,0,0.9791603684425354,0.025,0.09375,0.16,0.1111111111111111,0.004962779156327543,lookback_42,lookback,42,0.694,bag labels only,0,0.18358634412288666
89,25,0.57875,0.4402784267554289,0.4583333333333333,0.5658345934705347,0.04838709677419355,0.1488833746898263,0.0325,0.5533361091007258,0.1836948982882106,0.16378638386702904,0.12258576333547173,0.13202113975621352,,,,25,0,0.99324631690979,0.025,0.03125,0.0,0.0,0.0,lookback_43,lookback,43,0.622,bag labels only,0,0.1548021286725998
89,25,0.5625,0.37594586652906303,0.4155844155844156,0.563435627310467,0.04435483870967742,0.13647642679900746,0.0325,0.567690081777365,0.1944530340223596,0.18321678679743195,0.12309260364518482,0.13202113975621352,,,,25,0,0.9281742572784424,0.025,0.125,0.16,0.0,0.0,lookback_44,lookback,44,0.666,bag labels only,0,0.40071892738342285
89,25,0.5850000000000001,0.4456091204047354,0.3611111111111111,0.5103893839464829,0.031451612903225803,0.0967741935483871,0.0325,0.5169559379147889,0.1681798168632946,0.11704612233644493,0.11150959442873909,0.13202113975621352,,,,25,0,0.9999979800356551,0.025,0.125,0.12,0.0,0.0,mean_linear,mean_linear,,0.606,bag labels only,1,0.4164006254242938
89,25,0.47187500000000004,0.34313213080256383,0.3764705882352941,0.4884702358385295,0.028225806451612902,0.08684863523573201,0.0325,0.48592075203751167,0.1835763167184106,0.15351892551892551,0.11481883179180319,0.13202113975621352,,,,25,0,0.8544875979423523,0.025,0.03125,0.12,0.16666666666666666,0.0024813895781637717,shuffled_support,shuffled,,0.667,bag labels only,0,0.45599889755249023
89,25,0.58125,0.4469876484870479,0.3870967741935484,0.643082193211661,0.07016129032258064,0.21588089330024815,0.0325,0.6614145692444164,0.2971939496685718,0.25945072669266217,0.24943012651702984,0.13202113975621352,,,,25,0,0.9969110610180477,0.025,0.0625,0.04,0.0,0.0,supervised_after,supervised_after,,0.6484898871285476,"token labels; diagnostic, not weak supervision",2,0.8462011298127036
89,25,0.5825,0.46312124228462986,0.4266666666666667,0.6337659683738139,0.06774193548387097,0.20843672456575682,0.0325,0.6490359536870433,0.28911564706371257,0.24161739335932886,0.23600070104054552,0.13202113975621352,,,,25,0,0.9970656693701266,0.025,0.0625,0.08,0.0,0.0,supervised_before,supervised_before,,0.6453773397244629,"token labels; diagnostic, not weak supervision",2,0.7998597058917163
89,25,0.60625,0.46856236841140425,0.4533333333333333,0.6454690595725854,0.07822580645161291,0.24069478908188585,0.0325,0.6711730582083427,0.2703978194384995,0.24037774232935522,0.2074108407108767,0.13202113975621352,,,,25,0,0.973295784049356,0.025,0.046875,0.16,0.2,0.004962779156327543,supervised_lookback,supervised_lookback,,0.6085433230022907,"token labels; diagnostic, not weak supervision",0,0.7692996038470894
89,25,0.6,0.3835331573614732,0.4864864864864865,0.555570654450213,0.050806451612903224,0.15632754342431762,0.0325,0.5469654669160277,0.21126393305967806,0.17715713497971564,0.1728860827838652,0.13202113975621352,,,,25,0,0.9329290390014648,0.025,0.140625,0.12,0.08333333333333333,0.0024813895781637717,support_42,support,42,0.608,bag labels only,0,0.48507827520370483
89,25,0.53625,0.30953437971861053,0.4158415841584158,0.55424112438366,0.050806451612903224,0.15632754342431762,0.0325,0.5605545748749368,0.23428039456914418,0.20215362952459728,0.17779858987261968,0.13202113975621352,,,,25,0,0.6933990716934204,0.025,0.09375,0.0,0.0,0.0,support_43,support,43,0.617,bag labels only,0,0.43038907647132874
89,25,0.583125,0.3493612427921654,0.45161290322580644,0.5408423032143478,0.04838709677419355,0.1488833746898263,0.0325,0.5466658257150607,0.20246181194785,0.1621388199614006,0.1366713299524373,0.13202113975621352,,,,25,0,0.8038144707679749,0.025,0.078125,0.12,0.1111111111111111,0.0024813895781637717,support_44,support,44,0.655,bag labels only,0,0.5122844576835632
89,25,0.64375,0.4907118505184775,0.46875,0.5616898434699659,0.055645161290322584,0.17121588089330025,0.0325,0.5615874579403224,0.20435520991639097,0.16442081216274765,0.14075575090983689,0.13202113975621352,,,,25,0,0.9741040468215942,0.025,0.046875,0.2,0.18181818181818182,0.004962779156327543,support_lookback_42,support_lookback,42,0.706,bag labels only,0,0.45037153363227844
89,25,0.5556249999999999,0.40518420870384125,0.3548387096774194,0.5623031067940683,0.04596774193548387,0.141439205955335,0.0325,0.565586588508822,0.19214090570675196,0.17128183465280236,0.14135606823876679,0.13202113975621352,,,,25,0,0.9574084281921387,0.025,0.0625,0.08,0.0,0.0,support_lookback_43,support_lookback,43,0.662,bag labels only,0,0.4082726240158081
89,25,0.5693750000000001,0.4265521417883323,0.4175824175824176,0.5619812728202729,0.042741935483870966,0.1315136476426799,0.0325,0.5830388260563004,0.1930579910892081,0.17310140218204734,0.13400408663503918,0.13202113975621352,,,,25,0,0.977165937423706,0.025,0.109375,0.24,0.11764705882352941,0.004962779156327543,support_lookback_44,support_lookback,44,0.69,bag labels only,0,0.1750195175409317
89,25,0.64875,0.4731317813397547,0.47191011235955055,,,,,,,,,,,,,,,,,,,,,text,text,,0.514,bag labels only,,0.442268396150954
89,25,0.4575,0.25654147675102246,0.4,0.5129864972446585,0.03790322580645161,0.11662531017369727,0.0325,0.4976751746459332,0.1784877929977425,0.14248457993619282,0.12600621815844654,0.13202113975621352,,,,25,0,0.6685045957565308,0.025,0.015625,0.0,0.0,0.0,uncertainty_42,uncertainty,42,0.665,bag labels only,0,0.46170735359191895
89,25,0.5431250000000001,0.31983327286018537,0.45,0.52159224669691,0.03951612903225806,0.12158808933002481,0.0325,0.5188115281418413,0.17256394856451746,0.1517056402378983,0.12996206699996748,0.13202113975621352,,,,25,0,0.6810624599456787,0.025,0.109375,0.12,0.0,0.0,uncertainty_43,uncertainty,43,0.6859999999999999,bag labels only,0,0.4481447637081146
89,25,0.5543750000000001,0.3351363319827991,0.41975308641975306,0.5371124625656001,0.04112903225806452,0.12655086848635236,0.0325,0.5390428638271202,0.19488885391388483,0.17054685099846392,0.16009777391431218,0.13202113975621352,,,,25,0,0.8313862085342407,0.025,0.140625,0.08,0.0,0.0,uncertainty_44,uncertainty,44,0.608,bag labels only,0,0.3989584147930145
89,25,0.53625,0.36004059199287924,0.45652173913043476,0.5489244519566616,0.04516129032258064,0.13895781637717122,0.0325,0.561323814402551,0.20290423081502762,0.18770558115719407,0.1707356835562898,0.13202113975621352,,,,25,0,15.423233032226562,0.025,0.03125,0.0,0.0,0.0,nll_topk,nll_topk,,0.5579999999999999,no fitted weights; validation threshold,,4.4692559242248535
89,25,0.555625,0.35224994696466194,0.4375,0.5489244519566616,0.04516129032258064,0.13895781637717122,0.0325,0.561323814402551,0.20290423081502762,0.18770558115719407,0.1707356835562898,0.13202113975621352,,,,25,0,15.423233032226562,0.025,0.03125,0.0,0.0,0.0,nll_mean,nll_mean,,0.611,no fitted weights; validation threshold,,1.247959017753601
89,25,0.5493750000000001,0.30095223394092996,0.4423076923076923,0.531719985414054,0.037096774193548385,0.1141439205955335,0.0325,0.5366630708106815,0.19716246900754533,0.16440637677734452,0.12875803188739324,0.13202113975621352,,,,25,0,6.722548484802246,0.025,0.0,0.0,0.0,0.0,support_delta,support_delta,,0.4740000000000001,no fitted weights; validation threshold,,0.727665901184082
89,25,0.5165625,0.29065704357123767,0.4329896907216495,0.5210084572425157,0.0467741935483871,0.14392059553349876,0.0325,0.5102046122002679,0.1418287373105817,0.12230009059041316,0.09075320171065006,0.13202113975621352,,,,25,0,1.0,0.0,0.0,0.0,0.0,0.0,source_copy,source_copy,,0.5549999999999999,no fitted weights; validation threshold,,1.0
